checkpoint,eval_model,jpeg_quality,image,prompt,psnr_immunized,ssim_imm_orig,ssim_clean_edit,ssim_imm_edit,disrupted
sd15_only,sd15,none,image_135.png,A person in a local crafts market,85.55,1.0,0.5658,0.5478,0
sd15_only,sd15,75,image_135.png,A person in a music studio,37.128,0.9565,0.5368,0.4705,1
sd15_only,sd15,75,image_135.png,A person in a local crafts market,37.128,0.9565,0.5658,0.5762,0
sd15_only,sd15,70,image_135.png,A person in a music studio,36.489,0.9514,0.5368,0.5728,0
sd15_only,sd15,70,image_135.png,A person in a local crafts market,36.489,0.9514,0.5658,0.5718,0
sd15_only,sd15,none,image_142.png,A person in a bowling alley,90.546,1.0,0.5738,0.5637,0
sd15_only,sd15,none,image_142.png,A person in a climbing wall,90.546,1.0,0.5546,0.5429,0
sd15_only,sd15,75,image_142.png,A person in a bowling alley,38.947,0.9624,0.5738,0.5814,0
sd15_only,sd15,75,image_142.png,A person in a climbing wall,38.947,0.9624,0.5546,0.5448,0
sd15_only,sd15,70,image_142.png,A person in a bowling alley,38.353,0.9578,0.5738,0.5771,0
sd15_only,sd15,70,image_142.png,A person in a climbing wall,38.353,0.9578,0.5546,0.516,0
sd15_only,sd15,none,image_149.png,A person in a music and arts festival,90.458,1.0,0.5711,0.564,0
sd15_only,sd15,none,image_149.png,A person in a costume party,90.458,1.0,0.5532,0.5816,0
sd15_only,sd15,75,image_149.png,A person in a music and arts festival,40.573,0.9676,0.5711,0.6342,0
sd15_only,sd15,75,image_149.png,A person in a costume party,40.573,0.9676,0.5532,0.5842,0
sd15_only,sd15,70,image_149.png,A person in a music and arts festival,39.959,0.9635,0.5711,0.6064,0
sd15_only,sd15,70,image_149.png,A person in a costume party,39.959,0.9635,0.5532,0.4757,1
sd15_only,sd15,none,image_151.png,A person in a charity art auction,73.329,1.0,0.6928,0.6622,0
sd15_only,sd15,none,image_151.png,A person in a customs checkpoint,73.329,1.0,0.6425,0.6965,0
sd15_only,sd15,75,image_151.png,A person in a charity art auction,39.517,0.9607,0.6928,0.6581,0
sd15_only,sd15,75,image_151.png,A person in a customs checkpoint,39.517,0.9607,0.6425,0.6849,0
sd15_only,sd15,70,image_151.png,A person in a charity art auction,38.926,0.9562,0.6928,0.6851,0
sd15_only,sd15,70,image_151.png,A person in a customs checkpoint,38.926,0.9562,0.6425,0.6864,0
sd15_only,sd15,none,image_152.png,A person in a city food tour,87.704,1.0,0.6193,0.6057,0
sd15_only,sd15,none,image_152.png,A person in a flea market,87.704,1.0,0.5789,0.5435,0
sd15_only,sd15,75,image_152.png,A person in a city food tour,38.405,0.9636,0.6193,0.596,0
sd15_only,sd15,75,image_152.png,A person in a flea market,38.405,0.9636,0.5789,0.612,0
sd15_only,sd15,70,image_152.png,A person in a city food tour,37.805,0.9592,0.6193,0.6425,0
sd15_only,sd15,70,image_152.png,A person in a flea market,37.805,0.9592,0.5789,0.5951,0
sd15_only,sd15,none,image_160.png,A person in a flower garden,55.168,0.9999,0.5164,0.5229,0
sd15_only,sd15,none,image_160.png,A person in a sports field,55.168,0.9999,0.5256,0.5532,0
sd15_only,sd15,75,image_160.png,A person in a flower garden,36.635,0.9549,0.5164,0.5153,0
sd15_only,sd15,75,image_160.png,A person in a sports field,36.635,0.9549,0.5256,0.5442,0
sd15_only,sd15,70,image_160.png,A person in a flower garden,36.002,0.9497,0.5164,0.5274,0
sd15_only,sd15,70,image_160.png,A person in a sports field,36.002,0.9497,0.5256,0.513,0
sd15_only,sd15,none,image_163.png,A person in a slum,85.929,1.0,0.385,0.387,0
sd15_only,sd15,none,image_163.png,A person in a nightclub,85.929,1.0,0.3628,0.3547,0
sd15_only,sd15,75,image_163.png,A person in a slum,37.266,0.9674,0.385,0.3972,0
sd15_only,sd15,75,image_163.png,A person in a nightclub,37.266,0.9674,0.3628,0.3372,0
sd15_only,sd15,70,image_163.png,A person in a slum,36.274,0.9608,0.385,0.3868,0
sd15_only,sd15,70,image_163.png,A person in a nightclub,36.274,0.9608,0.3628,0.3466,0
sd15_only,sd15,none,image_165.png,A person in a digital art gallery,86.975,1.0,0.5714,0.4956,1
sd15_only,sd15,none,image_165.png,A person in a cocktail bar,86.975,1.0,0.4613,0.5341,0
sd15_only,sd15,75,image_165.png,A person in a digital art gallery,38.145,0.9638,0.5714,0.4452,1
sd15_only,sd15,75,image_165.png,A person in a cocktail bar,38.145,0.9638,0.4613,0.3956,1
sd15_only,sd15,70,image_165.png,A person in a digital art gallery,37.483,0.9594,0.5714,0.5036,1
