checkpoint,image,prompt,purify_strength,psnr_immunized,psnr_purified,ssim_purified_vs_orig,ssim_clean_edit,ssim_direct_edit,ssim_purified_edit,ssim_purified_clean_edit,direct_disrupted,purified_disrupted,purification_control_disrupted
flux_trained,image_3.png,A person in a TV newsroom,0.7,31.311,22.08,0.6085,0.5122,0.4655,0.3829,0.3866,0,1,1
flux_trained,image_5.png,A person in a church sanctuary,0.3,42.015,34.607,0.9653,0.7636,0.7345,0.7412,0.7559,0,0,0
flux_trained,image_5.png,A person in a charity art auction,0.3,42.015,34.607,0.9653,0.753,0.7527,0.757,0.7522,0,0,0
flux_trained,image_5.png,A person in a church sanctuary,0.5,42.015,23.683,0.7117,0.7636,0.7345,0.63,0.6343,0,1,1
flux_trained,image_5.png,A person in a charity art auction,0.5,42.015,23.683,0.7117,0.753,0.7527,0.6268,0.6384,0,1,1
flux_trained,image_5.png,A person in a church sanctuary,0.7,42.015,23.573,0.6979,0.7636,0.7345,0.6103,0.6394,0,1,1
flux_trained,image_5.png,A person in a charity art auction,0.7,42.015,23.573,0.6979,0.753,0.7527,0.6113,0.6272,0,1,1
flux_trained,image_9.png,A person in a sports field,0.3,33.228,32.086,0.9658,0.607,0.6081,0.6277,0.5975,0,0,0
flux_trained,image_9.png,A person in a waterside cafe,0.3,33.228,32.086,0.9658,0.6011,0.6084,0.5519,0.5974,0,0,0
flux_trained,image_9.png,A person in a sports field,0.5,33.228,24.123,0.6993,0.607,0.6081,0.4863,0.4954,0,1,1
flux_trained,image_9.png,A person in a waterside cafe,0.5,33.228,24.123,0.6993,0.6011,0.6084,0.5049,0.4981,0,1,1
flux_trained,image_9.png,A person in a sports field,0.7,33.228,24.023,0.6973,0.607,0.6081,0.5194,0.4958,0,1,1
flux_trained,image_9.png,A person in a waterside cafe,0.7,33.228,24.023,0.6973,0.6011,0.6084,0.519,0.5241,0,1,1
flux_trained,image_13.png,A person in a drive-in theater,0.3,39.797,35.797,0.973,0.7462,0.7388,0.7401,0.7394,0,0,0
flux_trained,image_13.png,A person in a shelter,0.3,39.797,35.797,0.973,0.7559,0.7349,0.7107,0.7479,0,0,0
flux_trained,image_13.png,A person in a drive-in theater,0.5,39.797,24.065,0.7643,0.7462,0.7388,0.6725,0.6781,0,1,1
flux_trained,image_13.png,A person in a shelter,0.5,39.797,24.065,0.7643,0.7559,0.7349,0.6684,0.6819,0,1,1
flux_trained,image_13.png,A person in a drive-in theater,0.7,39.797,24.194,0.7701,0.7462,0.7388,0.6856,0.6764,0,1,1
