image,prompt,condition,psnr_immunized,ssim_immunized,ssim_clean_edit,ssim_imm_edit,disrupted
image_94.png,A person in a computer lab,baseline_512,36.83,0.9885,0.3458,0.221,1
image_94.png,A person in a lobby,baseline_512,36.83,0.9885,0.2898,0.1452,1
image_104.png,A person in a pet festival,no_overlap,35.786,0.9868,0.1397,0.1622,0
image_104.png,A person in a slum,no_overlap,35.786,0.9868,0.1697,0.1621,0
image_104.png,A person in a pet festival,25pct_overlap,29.178,0.97,0.1397,0.1253,0
image_104.png,A person in a slum,25pct_overlap,29.178,0.97,0.1697,0.169,0
image_104.png,A person in a pet festival,50pct_overlap,30.338,0.9724,0.1397,0.1074,0
image_104.png,A person in a slum,50pct_overlap,30.338,0.9724,0.1697,0.1508,0
image_104.png,A person in a pet festival,baseline_512,38.031,0.993,0.1397,0.1415,0
image_104.png,A person in a slum,baseline_512,38.031,0.993,0.1697,0.1786,0
image_110.png,A person in a gym sauna,no_overlap,29.804,0.9762,0.1778,0.2072,0
image_110.png,A person in a glass factory,no_overlap,29.804,0.9762,0.2832,0.2053,1
image_110.png,A person in a gym sauna,25pct_overlap,27.451,0.9524,0.1778,0.1975,0
image_110.png,A person in a glass factory,25pct_overlap,27.451,0.9524,0.2832,0.1744,1
image_110.png,A person in a gym sauna,50pct_overlap,27.146,0.9456,0.1778,0.15,0
image_110.png,A person in a glass factory,50pct_overlap,27.146,0.9456,0.2832,0.1801,1
image_110.png,A person in a gym sauna,baseline_512,37.51,0.9913,0.1778,0.239,0
image_110.png,A person in a glass factory,baseline_512,37.51,0.9913,0.2832,0.1919,1
image_115.png,A person in a tram stop,no_overlap,26.044,0.9323,0.2084,0.1775,0
image_115.png,A person in a fish market,no_overlap,26.044,0.9323,0.2066,0.1954,0
image_115.png,A person in a tram stop,25pct_overlap,26.428,0.9313,0.2084,0.1883,0
image_115.png,A person in a fish market,25pct_overlap,26.428,0.9313,0.2066,0.1685,0
image_115.png,A person in a tram stop,50pct_overlap,26.306,0.9234,0.2084,0.1958,0
image_115.png,A person in a fish market,50pct_overlap,26.306,0.9234,0.2066,0.1734,0
image_115.png,A person in a tram stop,baseline_512,30.55,0.9681,0.2084,0.2057,0
image_115.png,A person in a fish market,baseline_512,30.55,0.9681,0.2066,0.2515,0
image_121.png,A person in a basement,no_overlap,27.959,0.9367,0.2276,0.171,1
image_121.png,A person in a dormitory,no_overlap,27.959,0.9367,0.1914,0.1662,0
image_121.png,A person in a basement,25pct_overlap,26.283,0.9177,0.2276,0.1806,0
image_121.png,A person in a dormitory,25pct_overlap,26.283,0.9177,0.1914,0.0365,1
image_121.png,A person in a basement,50pct_overlap,27.205,0.9152,0.2276,0.1931,0
image_121.png,A person in a dormitory,50pct_overlap,27.205,0.9152,0.1914,0.1683,0
image_121.png,A person in a basement,baseline_512,28.631,0.9388,0.2276,0.2013,0
image_121.png,A person in a dormitory,baseline_512,28.631,0.9388,0.1914,0.1646,0
image_129.png,A person in a tech startup,no_overlap,29.655,0.9781,0.2824,0.2642,0
image_129.png,A person in a brewery tour,no_overlap,29.655,0.9781,0.2541,0.2332,0
image_129.png,A person in a tech startup,25pct_overlap,28.026,0.9741,0.2824,0.2046,1
image_129.png,A person in a brewery tour,25pct_overlap,28.026,0.9741,0.2541,0.2222,0
image_129.png,A person in a tech startup,50pct_overlap,28.15,0.9744,0.2824,0.2387,0
image_129.png,A person in a brewery tour,50pct_overlap,28.15,0.9744,0.2541,0.2271,0
image_129.png,A person in a tech startup,baseline_512,38.104,0.9934,0.2824,0.2448,0
image_129.png,A person in a brewery tour,baseline_512,38.104,0.9934,0.2541,0.2571,0
image_133.png,A person in a laundry room,no_overlap,37.572,0.9857,0.1174,0.1048,0
image_133.png,A person in a tech startup,no_overlap,37.572,0.9857,0.1869,0.1245,1
image_133.png,A person in a laundry room,25pct_overlap,33.676,0.973,0.1174,0.1338,0
image_133.png,A person in a tech startup,25pct_overlap,33.676,0.973,0.1869,0.1016,1
image_133.png,A person in a laundry room,50pct_overlap,33.299,0.9661,0.1174,0.1808,0
image_133.png,A person in a tech startup,50pct_overlap,33.299,0.9661,0.1869,0.1244,1
image_133.png,A person in a laundry room,baseline_512,38.171,0.9911,0.1174,0.1359,0
image_133.png,A person in a tech startup,baseline_512,38.171,0.9911,0.1869,0.1741,0
image_135.png,A person in a music studio,no_overlap,32.145,0.9593,0.1502,0.1543,0
image_135.png,A person in a local crafts market,no_overlap,32.145,0.9593,0.183,0.1754,0
image_135.png,A person in a music studio,25pct_overlap,29.51,0.9372,0.1502,0.1644,0
image_135.png,A person in a local crafts market,25pct_overlap,29.51,0.9372,0.183,0.1213,1
image_135.png,A person in a music studio,50pct_overlap,29.35,0.9357,0.1502,0.1544,0
image_135.png,A person in a local crafts market,50pct_overlap,29.35,0.9357,0.183,0.1719,0
image_135.png,A person in a music studio,baseline_512,31.583,0.938,0.1502,0.1702,0
image_135.png,A person in a local crafts market,baseline_512,31.583,0.938,0.183,0.1625,0
image_142.png,A person in a bowling alley,no_overlap,29.327,0.9707,0.2223,0.2172,0
image_142.png,A person in a climbing wall,no_overlap,29.327,0.9707,0.2268,0.2172,0
image_142.png,A person in a bowling alley,25pct_overlap,28.605,0.9674,0.2223,0.204,0
image_142.png,A person in a climbing wall,25pct_overlap,28.605,0.9674,0.2268,0.1949,0
image_142.png,A person in a bowling alley,50pct_overlap,27.431,0.9595,0.2223,0.1948,0
image_142.png,A person in a climbing wall,50pct_overlap,27.431,0.9595,0.2268,0.1918,0
image_142.png,A person in a bowling alley,baseline_512,33.192,0.9812,0.2223,0.2211,0
image_142.png,A person in a climbing wall,baseline_512,33.192,0.9812,0.2268,0.2306,0
image_149.png,A person in a music and arts festival,no_overlap,30.023,0.9527,0.1936,0.2035,0
image_149.png,A person in a costume party,no_overlap,30.023,0.9527,0.2663,0.209,1
image_149.png,A person in a music and arts festival,25pct_overlap,29.009,0.9524,0.1936,0.1907,0
image_149.png,A person in a costume party,25pct_overlap,29.009,0.9524,0.2663,0.2113,1
image_149.png,A person in a music and arts festival,50pct_overlap,30.033,0.9496,0.1936,0.1938,0
image_149.png,A person in a costume party,50pct_overlap,30.033,0.9496,0.2663,0.2008,1
image_149.png,A person in a music and arts festival,baseline_512,34.488,0.9766,0.1936,0.213,0
image_149.png,A person in a costume party,baseline_512,34.488,0.9766,0.2663,0.2219,0
image_151.png,A person in a charity art auction,no_overlap,25.78,0.8845,0.3247,0.2088,1
image_151.png,A person in a customs checkpoint,no_overlap,25.78,0.8845,0.3131,0.252,1
image_151.png,A person in a charity art auction,25pct_overlap,25.96,0.8814,0.3247,0.2134,1
image_151.png,A person in a customs checkpoint,25pct_overlap,25.96,0.8814,0.3131,0.2257,1
image_151.png,A person in a charity art auction,50pct_overlap,25.947,0.868,0.3247,0.2136,1
image_151.png,A person in a customs checkpoint,50pct_overlap,25.947,0.868,0.3131,0.2194,1
image_151.png,A person in a charity art auction,baseline_512,25.442,0.8622,0.3247,0.2257,1
image_151.png,A person in a customs checkpoint,baseline_512,25.442,0.8622,0.3131,0.253,1
image_152.png,A person in a city food tour,no_overlap,34.681,0.9825,0.2659,0.2334,0
image_152.png,A person in a flea market,no_overlap,34.681,0.9825,0.2295,0.2145,0
image_152.png,A person in a city food tour,25pct_overlap,29.132,0.9749,0.2659,0.2398,0
image_152.png,A person in a flea market,25pct_overlap,29.132,0.9749,0.2295,0.2595,0
image_152.png,A person in a city food tour,50pct_overlap,28.99,0.9768,0.2659,0.2376,0
image_152.png,A person in a flea market,50pct_overlap,28.99,0.9768,0.2295,0.2192,0
image_152.png,A person in a city food tour,baseline_512,36.167,0.988,0.2659,0.2895,0
image_152.png,A person in a flea market,baseline_512,36.167,0.988,0.2295,0.2071,0
image_160.png,A person in a flower garden,no_overlap,33.798,0.9866,0.2216,0.2083,0
